iter	Passed	Remaining
0	9	9351
1	12	6139
2	14	4941
3	17	4320
4	19	3894
5	21	3608
6	23	3381
7	26	3226
8	28	3154
9	31	3073
10	33	2988
11	35	2935
12	37	2884
13	40	2839
14	42	2799
15	45	2769
16	47	2737
17	49	2704
18	52	2692
19	54	2691
20	58	2707
21	61	2712
22	63	2697
23	65	2682
24	68	2665
25	70	2649
26	73	2638
27	75	2627
28	78	2619
29	80	2602
30	82	2588
31	85	2572
32	87	2568
33	90	2562
34	92	2563
35	95	2556
36	97	2545
37	100	2542
38	103	2542
39	105	2539
40	108	2536
41	110	2525
42	113	2516
43	115	2506
44	117	2495
45	119	2484
46	122	2475
47	124	2470
48	127	2467
49	129	2462
50	131	2453
51	134	2449
52	137	2451
53	139	2448
54	142	2455
55	145	2449
56	147	2446
57	150	2438
58	152	2432
59	154	2427
60	157	2427
61	160	2421
62	162	2417
63	165	2422
64	168	2419
65	170	2414
66	173	2418
67	176	2418
68	178	2414
69	182	2423
70	185	2421
71	188	2430
72	191	2434
73	194	2429
74	196	2422
75	199	2422
76	201	2421
77	204	2418
78	208	2426
79	211	2428
80	213	2421
81	215	2415
82	217	2407
83	220	2403
84	223	2403
85	225	2398
86	228	2392
87	230	2385
88	232	2379
89	234	2373
90	237	2373
91	239	2367
92	242	2368
93	244	2361
94	247	2355
95	249	2350
96	252	2346
97	254	2345
98	257	2341
99	259	2335
100	261	2331
101	264	2325
102	266	2319
103	269	2318
104	271	2313
105	273	2308
106	275	2302
107	278	2297
108	280	2292
109	282	2287
110	285	2284
111	287	2280
112	289	2275
113	292	2271
114	294	2267
115	296	2261
116	299	2257
117	300	2247
118	303	2249
119	306	2246
120	308	2242
121	311	2238
122	313	2236
123	316	2232
124	318	2230
125	321	2226
126	323	2223
127	325	2220
128	328	2219
129	331	2216
130	334	2216
131	334	2201
132	337	2198
133	339	2194
134	342	2191
135	344	2188
136	347	2186
137	349	2185
138	352	2185
139	355	2183
140	357	2180
141	360	2176
142	362	2172
143	365	2169
144	367	2168
145	370	2165
146	372	2162
147	375	2159
148	377	2155
149	379	2151
150	382	2153
151	385	2149
152	387	2145
153	389	2141
154	392	2139
155	395	2139
156	398	2141
157	402	2143
158	404	2140
159	406	2135
160	409	2131
161	411	2127
162	413	2123
163	416	2121
164	419	2120
165	421	2116
166	423	2113
167	425	2108
168	427	2104
169	430	2100
